Jennifer Wexton ,Democratic Party 
Andy Biggs ,Republican Party 
Trey Hollingsworth ,Republican Party 
Pete Olson ,Republican Party 
Tom Rice ,Republican Party 
Donald McEachin ,Democratic Party 
Jess Garca ,Democratic Party 
Nydia Velazquez ,Democratic Party 
Tony Cardenas ,Democratic Party 
Will Hurd ,Republican Party 
Vicente González ,Democratic Party 
Marc Veasey ,Democratic Party 
Ilhan Omar ,Democratic Party 
Andy Kim ,Democratic Party 
John B. Larson ,Democratic Party 
Greg Stanton ,Democratic Party 
Ronald Wright ,Republican Party 
Lloyd Smucker ,Republican Party 
Joe Cunningham ,Democratic Party 
Roger Marshall ,Republican Party 
Michael Burgess ,Republican Party 
Joe Neguse ,Democratic Party 
Stephanie Murphy ,Democratic Party 
Van Taylor ,Republican Party 
Ken Calvert ,Republican Party 
Gary Palmer ,Republican Party 
Al Green ,Democratic Party 
Bill Posey ,Republican Party 
Katie Porter ,Democratic Party 
Val Demings ,Democratic Party 
Yvette Clarke ,Democratic Party 
Phil Roe ,Republican Party 
Marcy Kaptur ,Democratic Party 
Ross Spano ,Republican Party 
Richard Hudson ,Republican Party 
Anna Eshoo ,Democratic Party 
Harley Rouda ,Democratic Party 
Andre Carson ,Democratic Party 
Trent Kelly ,Republican Party 
Adam Schiff ,Democratic Party 
Paul Mitchell ,Republican Party 
Brian Mast ,Republican Party 
Judy Chu ,Democratic Party 
Ed Case ,Democratic Party 
Dan Meuser ,Republican Party 
Rick Crawford ,Republican Party 
Patrick McHenry ,Republican Party 
Ted Lieu ,Democratic Party 
Susan Davis ,Democratic Party 
Anthony Gonzalez ,Republican Party 
Don Bacon ,Republican Party 
Tom McClintock ,Republican Party 
Jerry McNerney ,Democratic Party 
Morgan Griffith ,Republican Party 
Jason Smith ,Republican Party 
Scott Tipton ,Republican Party 
Donald Norcross ,Democratic Party 
Josh Harder ,Democratic Party 
Ben Cline ,Republican Party 
Susie Lee ,Democratic Party 
Charlie Crist ,Democratic Party 
Scott Peters ,Democratic Party 
Suzanne Bonamici ,Democratic Party 
Bonnie Watson Coleman ,Democratic Party 
Bruce Westerman ,Republican Party 
Eleanor Holmes Norton ,Democratic Party 
Salud Carbajal ,Democratic Party 
Madeleine Dean ,Democratic Party 
Roger Williams ,Republican Party 
Bill Pascrell ,Democratic Party 
Kenny Marchant ,Republican Party 
Mac Thornberry ,Republican Party 
Dan Crenshaw ,Republican Party 
Kim Schrier ,Democratic Party 
Jimmy Panetta ,Democratic Party 
Eddie Bernice Johnson ,Democratic Party 
Mike Turner ,Republican Party 
Chuck Fleischmann ,Republican Party 
Sheila Jackson Lee ,Democratic Party 
Sam Graves ,Republican Party 
Susan Brooks ,Republican Party 
Greg Steube ,Republican Party 
Elaine Luria ,Democratic Party 
Randy Weber ,Republican Party 
Gregory Meeks ,Democratic Party 
Ted Deutch,Democratic Party 
Ruben Gallego ,Democratic Party 
Abigail Spanberger ,Democratic Party 
Neal Dunn ,Republican Party 
Colin Allred ,Democratic Party 
Raul Grijalva ,Democratic Party 
Steve Cohen ,Democratic Party 
Emanuel Cleaver ,Democratic Party 
Bryan Steil ,Republican Party 
Garret Graves ,Republican Party 
John Garamendi ,Democratic Party 
Debbie Lesko ,Republican Party 
Tom O'Halleran ,Democratic Party 
Troy Balderson ,Republican Party 
Rashida Tlaib ,Democratic Party 
Katherine Clark ,Democratic Party 
John Ratcliffe ,Republican Party 
Steve Chabot ,Republican Party 
Mark Meadows ,Republican Party 
Donna Shalala ,Democratic Party 
Mikie Sherrill ,Democratic Party 
Buddy Carter ,Republican Party 
Mike Quigley ,Democratic Party 
Kevin McCarthy ,Republican Party 
Michael F. Doyle ,Democratic Party 
Ann Wagner ,Republican Party 
Chellie Pingree ,Democratic Party 
John Rutherford ,Republican Party 
Kevin Brady ,Republican Party 
Robin Kelly ,Democratic Party 
Richard Neal ,Democratic Party 
Martha Roby ,Republican Party 
Steve Scalise ,Republican Party 
Paul Cook ,Republican Party 
Glenn Grothman ,Republican Party 
Kathleen Rice ,Democratic Party 
John Rose ,Republican Party 
Antonio Delgado ,Democratic Party 
Don Beyer ,Democratic Party 
Dan Newhouse ,Republican Party 
Hal Rogers ,Republican Party 
John Yarmuth ,Democratic Party 
Russ Fulcher ,Republican Party 
Raja Krishnamoorthi ,Democratic Party 
Greg Pence ,Republican Party 
Sylvia Garcia ,Democratic Party 
Tim Burchett ,Republican Party 
Sanford Bishop,Democratic Party 
Gwen Moore ,Democratic Party 
Alma Adams ,Democratic Party 
Ann McLane Kuster ,Democratic Party 
Derek Kilmer ,Democratic Party 
